"rank","name","pop2021","pop2010","growth","density","aland_sqmi"
"276","Friday Harbor","2740","2174","0.2603","1268","2.1610"
"277","Chewelah","2716","2597","0.0458","919","2.9540"
"278","Desert Aire","2712","1626","0.6679","799","3.3960"
"279","Fords Prairie","2662","1959","0.3589","714","3.7270"
"280","Bridgeport","2649","2415","0.0969","2509","1.0560"
"282","South Creek","2636","2507","0.0515","342","7.7140"
"281","Brush Prairie","2636","2652","-0.0060","343","7.6830"
"283","Stansberry Lake","2634","2101","0.2537","1274","2.0680"
"284","Warm Beach","2603","2437","0.0681","639","4.0710"
"285","Okanogan","2592","2611","-0.0073","1291","2.0080"
"286","Riverbend","2562","2132","0.2017","871","2.9400"
"287","Rainier","2483","1797","0.3817","1433","1.7330"
"288","Geneva","2460","2321","0.0599","2321","1.0600"
"289","Shadow Lake","2434","2262","0.0760","468","5.2020"
"291","Fall City","2426","1993","0.2173","855","2.8370"
"290","Cathcart","2426","2458","-0.0130","628","3.8640"
"292","Allyn","2414","1963","0.2298","1513","1.5960"
"293","Arlington Heights","2410","2284","0.0552","287","8.4000"
"294","Carnation","2394","1791","0.3367","2087","1.1470"
"295","Whidbey Island Station","2371","1541","0.5386","361","6.5680"
"297","Dayton","2370","2544","-0.0684","1638","1.4470"
"296","Castle Rock","2370","2115","0.1206","1138","2.0830"
"298","Fife Heights","2368","2137","0.1081","2168","1.0920"
"299","Gold Bar","2352","2161","0.0884","2221","1.0590"
"300","Brewster","2339","2372","-0.0139","2030","1.1520"
"301","Burley","2304","2057","0.1201","485","4.7520"
"302","Royal City","2293","2151","0.0660","1970","1.1640"
"303","Mabton","2258","2295","-0.0161","2727","0.8280"
"304","Newport","2229","2144","0.0396","1623","1.3730"
"305","Southworth","2224","2185","0.0178","659","3.3750"
"306","Kingston","2193","2099","0.0448","1175","1.8660"
"307","Freeland","2154","2045","0.0533","555","3.8820"
"308","Westport","2144","2080","0.0308","581","3.6900"
"309","Cle Elum","2115","1870","0.1310","471","4.4870"
"310","Napavine","2085","1795","0.1616","721","2.8920"
"311","Leavenworth","2067","1978","0.0450","1471","1.4050"
"312","Walla Walla East","2015","1672","0.2051","1554","1.2970"
"313","Coupeville","2000","1837","0.0887","1575","1.2700"
"314","Lofall","1973","2289","-0.1381","987","1.9990"
"315","Fern Prairie","1958","1884","0.0393","390","5.0170"
"316","North Puyallup","1930","1743","0.1073","1842","1.0480"
"317","Enetai","1921","2286","-0.1597","1869","1.0280"
"318","Tenino","1907","1687","0.1304","1322","1.4430"
"319","Amboy","1875","1608","0.1660","188","9.9820"
"320","Millwood","1838","1786","0.0291","2641","0.6960"
"321","McCleary","1834","1652","0.1102","895","2.0500"
"322","South Wenatchee","1821","1553","0.1726","1568","1.1610"
"323","Bryant","1817","1870","-0.0283","296","6.1410"
"324","Davenport","1796","1736","0.0346","1077","1.6670"
"325","Yacolt","1784","1583","0.1270","3103","0.5750"
"326","Big Lake","1774","1835","-0.0332","470","3.7720"
"327","Ravensdale","1773","1101","0.6104","398","4.4520"
"329","Ocean Park","1745","1573","0.1093","576","3.0310"
"328","Nooksack","1745","1352","0.2907","2489","0.7010"
"330","South Bend","1740","1631","0.0668","1060","1.6410"
"331","Monroe North","1738","1666","0.0432","731","2.3770"
"332","West Pasco","1731","3739","-0.5370","1024","1.6900"
"333","Lewisville","1721","1722","-0.0006","318","5.4150"
"334","Cosmopolis","1716","1647","0.0419","1233","1.3920"
"335","Kayak Point","1704","0","","311","5.4740"
"336","Cascade Valley","1673","2246","-0.2551","562","2.9790"
"337","Ritzville","1664","1685","-0.0125","951","1.7500"
